mesh_id	topl
C000631412	OTH
C000648548	OTH
C001505	OTH
C002889	OTH
C003089	OTH
C003342	OTH
C005419	OTH
C005479	OTH
C006584	OTH
C007558	OTH
C008039	OTH
C008088	OTH
C008301	OTH
C008698	OTH
C008757	OTH
C010247	OTH
C010846	OTH
C010922	OTH
C011369	OTH
C011729	OTH
C011800	OTH
C013111	OTH
C014481	OTH
C015252	OTH
C015856	OTH
C016195	OTH
C018332	OTH
C018440	OTH
C019417	OTH
C020381	OTH
C020748	OTH
C022510	OTH
C023336	OTH
C023495	OTH
C024058	OTH
C024989	OTH
C025138	OTH
C025910	OTH
C028118	OTH
C028505	OTH
C030272	OTH
C030298	OTH
C030397	OTH
C030514	OTH
C030691	OTH
C030737	OTH
C030878	OTH
C031183	OTH
C031262	OTH
C032007	OTH
C034516	OTH
C035661	OTH
C036504	OTH
C038080	OTH
C040768	OTH
C042836	OTH
C043482	OTH
C044228	OTH
C046649	OTH
C047442	OTH
C048290	OTH
C050413	OTH
C051870	OTH
C051928	OTH
C052035	OTH
C052203	OTH
C053168	OTH
C054188	OTH
C055085	OTH
C056407	OTH
C057619	OTH
C060343	OTH
C062765	OTH
C077793	OTH
C078133	OTH
C088117	OTH
C089750	OTH
C093230	OTH
C093622	OTH
C093875	OTH
C094954	OTH
C100511	OTH
C101940	OTH
C104814	OTH
C106783	OTH
C107687	OTH
C110422	OTH
C111827	OTH
C114545	OTH
C116917	OTH
C117569	OTH
C121345	OTH
C405603	OTH
C408690	OTH
C416507	OTH
C428439	OTH
C437965	OTH
C472067	OTH
C483858	OTH
C526278	OTH
C531609	OTH
C531719	OTH
C535402	OTH
C535509	OTH
C535531	OTH
C535700	OTH
C535731	OTH
C535932	OTH
C535953	OTH
C536109	OTH
C536202	OTH
C536252	OTH
C536380	OTH
C536392	OTH
C536482	OTH
C536494	OTH
C536590	OTH
C536773	OTH
C536777	OTH
C536821	OTH
C536875	OTH
C537412	OTH
C537417	OTH
C537748	OTH
C538362	OTH
C538420	OTH
C562385	OTH
C562406	OTH
C562429	OTH
C562463	OTH
C562732	OTH
C563016	OTH
C563161	OTH
C563236	OTH
C563261	OTH
C563333	OTH
C564683	OTH
C564777	OTH
C565201	OTH
C566780	OTH
C566973	OTH
C580062	OTH
C580364	OTH
D000006	C23
D000007	OTH
D000008	C04
D000012	C16
D000012	C18
D000013	C16
D000015	C16
D000022	OTH
D000027	OTH
D000028	OTH
D000030	OTH
D000031	C01
D000037	OTH
D000038	C01
D000038	C23
D000039	C01
D000039	C08
D000052	C17
D000059	OTH
D000063	OTH
D000066553	F03
D000066988	OTH
D000067010	F03
D000067073	F03
D000067877	F03
D000068105	F03
D000068296	OTH
D000068298	OTH
D000068299	OTH
D000068438	OTH
D000068557	OTH
D000068579	OTH
D000068656	OTH
D000068718	OTH
D000068737	OTH
D000068756	OTH
D000069059	OTH
D000069196	OTH
D000069282	C11
D000069290	C23
D000069348	OTH
D000069438	OTH
D000069446	OTH
D000069447	OTH
D000069464	OTH
D000069466	OTH
D000069470	OTH
D000069580	OTH
D000069583	OTH
D000070558	C05
D000070558	C16
D000070636	OTH
D000070642	C10
D000070676	C05
D000070816	OTH
D000071017	C10
D000071056	C06
D000071056	C16
D000071057	C10
D000071057	C23
D000071060	OTH
D000071074	C01
D000071074	C16
D000071074	C23
D000071378	C05
D000071451	OTH
D000071656	OTH
D000071681	OTH
D000071697	C23
D000071698	C18
D000071698	C19
D000071698	C20
D000071700	C11
D000071700	C16
D000071858	OTH
D000071936	OTH
D000072281	C15
D000072483	OTH
D000072599	C05
D000072657	C14
D000072657	C23
D000072660	OTH
D000072661	C16
D000072716	C23
D000072742	C01
D000072797	C05
D000072861	F03
D000073376	C10
D000073496	C23
D000073618	C01
D000073818	C23
D000073842	C14
D000073842	C16
D000073869	F03
D000073923	C23
D000073932	F03
D000074049	OTH
D000074765	OTH
D000074962	C14
D000074962	C20
D000075222	C14
D000075224	C14
D000075262	C19
D000075322	OTH
D000075363	C04
D000075384	F03
D000075662	C23
D000075983	OTH
D000076385	C06
D000077144	OTH
D000077152	OTH
D000077154	OTH
D000077155	OTH
D000077195	C04
D000077205	OTH
D000077206	OTH
D000077213	OTH
D000077216	C04
D000077236	OTH
D000077239	OTH
D000077260	C23
D000077273	C04
D000077274	C04
D000077299	C01
D000077299	C08
D000077299	C23
D000077333	OTH
D000077334	OTH
D000077338	OTH
D000077339	OTH
D000077402	OTH
D000077403	OTH
D000077405	OTH
D000077428	C15
D000077428	C16
D000077430	OTH
D000077557	OTH
D000077613	OTH
D000077684	C10
D000077765	C11
D000078602	F03
D000078785	OTH
D000079225	F03
D000079564	F03
D000079689	C23
D000079689	F03
D000080203	C08
D000080223	C17
D000080223	C20
D000080305	OTH
D000080324	C11
D000080344	C10
D000080344	C11
D000080344	C16
D000080362	C11
D000080362	C16
D000080424	C23
D000080485	C10
D000080485	C23
D000080682	OTH
D000081013	F03
D000081015	C23
D000081028	C10
D000081028	C11
D000081028	C23
D000081029	C08
D000081030	C05
D000081030	C10
D000081030	C23
D000081032	C06
D000081084	OTH
D000081207	C16
D000081207	C20
D000081208	C16
D000081208	C20
D000081226	OTH
D000082	OTH
D000082182	OTH
D000082843	C19
D000082843	C23
D000082882	C14
D000082882	C16
D000083242	C10
D000083242	C14
D000083262	C10
D000083262	C14
D000084002	C01
D000084002	C17
D000084063	C23
D000086002	C04
D000086382	C01
D000086382	C08
D000087122	C10
D000087122	C23
D000108	OTH
D000124	F03
D000130	C05
D000130	C16
D000136	OTH
D000138	C18
D000140	C18
D000141	C16
D000141	C18
D000142	C08
D000142	C18
D000151	C01
D000152	C17
D000163	C01
D000163	C20
D000168	C05
D000168	C16
D000169	C16
D000169	C17
D000170	C10
D000172	C05
D000172	C10
D000172	C19
D000182	C04
D000210	C23
D000219	C14
D000219	C23
D000224	C19
D000224	C20
D000225	OTH
D000230	C04
D000236	C04
D000243	OTH
D000257	C01
D000258	C01
D000267	C23
D000275	F03
D000292	C01
D000303	C19
D000307	C19
D000308	C19
D000309	C19
D000310	C04
D000312	C16
D000312	C18
D000312	C19
D000326	C10
D000326	C16
D000326	C18
D000326	C19
D000334	C23
D000339	F03
D000341	F03
D000342	F03
D000347	C15
D000347	C16
D000361	C15
D000361	C20
D000370	C10
D000370	C23
D000374	F03
D000375	OTH
D000377	C10
D000377	C23
D000379	F03
D000380	C15
D000381	C10
D000381	C23
D000402	C08
D000410	OTH
D000417	C11
D000417	C16
D000417	C17
D000417	C18
D000419	C23
D000420	OTH
D000428	F03
D000430	C10
D000430	F03
D000435	F03
D000437	F03
D000469	OTH
D000471	C18
D000472	C08
D000472	C18
D000474	C16
D000474	C18
D000493	OTH
D000505	C17
D000505	C23
D000506	C17
D000532	C08
D000542	C08
D000542	C20
D000544	C10
D000544	F03
D000547	OTH
D000550	C10
D000550	C11
D000550	C23
D000562	C01
D000567	C16
D000568	C23
D000592	C16
D000592	C18
D000596	OTH
D000597	OTH
D000627	OTH
D000637	OTH
D000638	OTH
D000641	OTH
D000647	C10
D000647	C23
D000647	F03
D000648	C10
D000648	C23
D000648	F03
D000658	OTH
D000681	OTH
D000686	C18
D000690	C10
D000690	C18
D000699	C10
D000699	C16
D000707	C20
D000735	OTH
D000740	C15
D000741	C15
D000742	C15
D000742	C16
D000743	C15
D000744	C15
D000744	C20
D000745	C15
D000745	C16
D000746	C15
D000746	C16
D000747	C15
D000748	C15
D000749	C15
D000751	C15
D000751	C16
D000752	C15
D000752	C18
D000753	C15
D000754	C15
D000755	C15
D000755	C16
D000756	C15
D000757	C10
D000757	C16
D000758	OTH
D000762	OTH
D000775	OTH
D000783	C14
D000784	C14
D000786	F03
D000787	C14
D000787	C23
D000788	C14
D000788	C23
D000789	C14
D000789	C23
D000795	C10
D000795	C14
D000795	C16
D000795	C18
D000799	C14
D000799	C17
D000799	C20
D000844	C05
D000848	C16
D000853	C11
D000853	C16
D000855	C23
D000856	F03
D000857	C10
D000857	C23
D000858	C19
D000860	C23
D000881	C01
D000886	OTH
D000941	OTH
D000974	OTH
D000987	F03
D001002	OTH
D001004	C06
D001005	C04
D001006	C06
D001006	C16
D001007	F03
D001008	F03
D001014	C14
D001017	C14
D001017	C16
D001018	C14
D001019	C14
D001022	C14
D001024	C14
D001026	OTH
D001035	C11
D001037	C10
D001037	C23
D001044	C08
D001044	C10
D001044	C23
D001049	C08
D001049	C23
D001064	C01
D001064	C06
D001066	C06
D001066	F03
D001068	F03
D001072	C10
D001072	C23
D001100	C10
D001112	C11
D001142	OTH
D001145	C14
D001145	C23
D001146	C14
D001146	C23
D001157	C14
D001161	C14
D001164	C14
D001164	C16
D001164	C23
D001165	C14
D001165	C16
D001167	C14
D001168	C05
D001170	C01
D001170	C05
D001171	C05
D001171	C17
D001171	C20
D001172	C05
D001172	C17
D001172	C20
D001176	C05
D001176	C16
D001177	C05
D001184	C10
D001184	C23
D001196	C01
D001201	C23
D001205	OTH
D001219	OTH
D001228	C01
D001237	C23
D001241	OTH
D001248	C11
D001249	C08
D001249	C20
D001251	C11
D001254	C04
D001259	C10
D001259	C23
D001260	C10
D001260	C14
D001260	C16
D001260	C18
D001260	C20
D001261	C08
D001262	OTH
D001264	C10
D001264	C23
D001265	OTH
D001281	C14
D001281	C23
D001282	C14
D001282	C23
D001284	C23
D001288	F03
D001289	F03
D001321	F03
D001327	C20
D001332	F03
D001336	OTH
D001342	C10
D001361	C18
D001379	OTH
D001405	C05
D001416	C23
D001418	OTH
D001424	C01
D001437	C01
D001446	OTH
D001471	C04
D001477	C19
D001478	C04
D001480	C10
D001481	OTH
D001506	C16
D001507	OTH
D001515	OTH
D001519	F03
D001523	F03
D001528	C11
D001528	C14
D001528	C16
D001528	C17
D001539	OTH
D001606	C15
D001606	C16
D001613	OTH
D001621	OTH
D001622	OTH
D001623	OTH
D001629	OTH
D001630	OTH
D001646	OTH
D001649	C06
D001650	C04
D001651	C06
D001656	C06
D001656	C16
D001657	C06
D001660	C06
D001663	OTH
D001714	F03
D001724	C23
D001726	OTH
D001733	OTH
D001742	C01
D001744	C23
D001745	OTH
D001746	C16
D001748	OTH
D001749	C04
D001750	C10
D001750	C23
D001752	C04
D001759	C01
D001759	C08
D001759	C17
D001762	C11
D001763	C11
D001764	C11
D001766	C10
D001766	C11
D001766	C23
D001768	C17
D001768	C23
D001777	OTH
D001778	C15
D001779	OTH
D001786	OTH
D001791	C15
D001794	OTH
D001798	OTH
D001806	OTH
D001810	OTH
D001816	C16
D001816	C18
D001816	C20
D001823	OTH
D001827	OTH
D001832	C23
D001835	C23
D001837	OTH
D001847	C05
D001848	C05
D001850	C01
D001850	C05
D001851	C05
D001851	C18
D001855	C15
D001859	C04
D001861	C05
D001906	C01
D001906	C10
D001913	C04
D001919	C14
D001919	C23
D001921	OTH
D001922	C01
D001922	C10
D001924	C10
D001927	C10
D001928	C10
D001928	C18
D001929	C10
D001930	C10
D001932	C04
D001939	OTH
D001941	C17
D001942	F03
D001943	C04
D001946	OTH
D001982	C08
D001986	C08
D001987	C08
D001988	C01
D001988	C08
D001989	C08
D001991	C01
D001991	C08
D001996	C01
D001996	C08
D001997	C08
D001997	C16
D002006	C01
D002012	F03
D002032	C23
D002034	OTH
D002037	C14
D002037	C23
D002047	OTH
D002051	C04
D002054	OTH
D002056	OTH
D002057	OTH
D002062	C05
D002079	OTH
D002087	OTH
D002097	OTH
D002100	C23
D002104	OTH
D002114	C18
D002115	C18
D002118	OTH
D002128	C18
D002149	OTH
D002177	C01
D002178	C01
D002178	C17
D002179	C01
D002179	C17
D002180	C01
D002181	C01
D002189	F03
D002198	OTH
D002216	OTH
D002220	OTH
D002231	OTH
D002239	C16
D002239	C18
D002241	OTH
D002245	OTH
D002270	C01
D002270	C17
D002272	OTH
D002276	C04
D002277	C04
D002278	C04
D002280	C04
D002282	C04
D002289	C04
D002292	C04
D002294	C04
D002303	C14
D002303	C23
D002305	C14
D002311	C14
D002311	C16
D002312	C14
D002313	C14
D002318	C14
D002320	OTH
D002338	OTH
D002340	C10
D002340	C14
D002341	C10
D002341	C14
D002349	C10
D002352	OTH
D002357	C05
D002357	C17
D002375	C10
D002375	C23
D002385	C10
D002385	F03
D002386	C11
D002389	C10
D002389	C23
D002394	OTH
D002402	OTH
D002422	C10
D002429	C06
D002430	C04
D002446	C06
D002446	C18
D002481	C01
D002481	C17
D002481	C23
D002493	C10
D002494	C01
D002494	C10
D002508	OTH
D002518	OTH
D002523	C01
D002524	C10
D002524	C23
D002526	C10
D002532	C10
D002532	C14
D002534	C10
D002534	C23
D002537	C10
D002537	C14
D002543	C10
D002543	C14
D002543	C23
D002544	C10
D002544	C14
D002544	C23
D002545	C10
D002545	C14
D002546	C10
D002546	C14
D002547	C10
D002558	C10
D002558	C23
D002559	C10
D002559	C23
D002561	C10
D002561	C14
D002575	OTH
D002577	OTH
D002578	C04
D002579	OTH
D002581	OTH
D002583	C04
D002598	C01
D002598	C14
D002607	C10
D002607	C16
D002609	C11
D002609	C15
D002609	C16
D002609	C20
D002611	OTH
D002613	OTH
D002636	C05
D002636	C16
D002637	C23
D002639	C08
D002639	C23
D002644	C01
D002647	OTH
D002658	F03
D002659	F03
D002663	F03
D002690	C01
D002694	C01
D002712	OTH
D002744	OTH
D002754	C08
D002754	C16
D002761	C06
D002764	C06
D002769	C06
D002771	C01
D002779	C06
D002780	C06
D002784	OTH
D002788	OTH
D002805	C05
D002806	C05
D002819	C10
D002819	C23
D002822	C04
D002825	C11
D002829	OTH
D002836	C15
D002836	C16
D002872	C23
D002916	C08
D002921	C23
D002925	C08
D002925	C16
D002936	OTH
D002940	OTH
D002971	C16
D002972	C05
D002972	C16
D002973	C05
D002973	C16
D002997	OTH
D003000	OTH
D003015	C01
D003025	C05
D003025	C16
D003027	C10
D003047	C01
D003057	C05
D003057	C10
D003057	C16
D003057	C18
D003061	OTH
D003069	OTH
D003071	F03
D003072	F03
D003078	OTH
D003085	C16
D003092	C06
D003093	C06
D003095	C17
D003103	C11
D003103	C16
D003108	C06
D003110	C04
D003111	C23
D003112	C06
D003117	C10
D003117	C11
D003117	C23
D003123	C04
D003128	C10
D003128	C23
D003139	C01
D003139	C08
D003141	C01
D003141	C23
D003161	C05
D003161	C14
D003176	OTH
D003181	OTH
D003192	F03
D003193	F03
D003218	C01
D003218	C17
D003221	C10
D003221	C23
D003229	C11
D003231	C11
D003233	C11
D003233	C20
D003234	C01
D003234	C11
D003240	C17
D003244	C10
D003244	C23
D003244	F03
D003248	C23
D003251	C23
D003267	OTH
D003286	C05
D003288	OTH
D003294	C10
D003294	C23
D003315	OTH
D003316	C11
D003317	C11
D003317	C16
D003318	C11
D003320	C01
D003320	C11
D003323	C14
D003324	C14
D003327	C14
D003328	C14
D003329	C14
D003342	OTH
D003371	C08
D003371	C23
D003389	C10
D003394	C05
D003394	C16
D003398	C05
D003398	C16
D003401	OTH
D003402	OTH
D003404	OTH
D003409	C05
D003409	C16
D003409	C19
D003414	C16
D003414	C18
D003424	C06
D003440	C08
D003448	F03
D003449	C14
D003449	C15
D003449	C20
D003453	C01
D003456	C16
D003456	C19
D003457	C01
D003457	C06
D003480	C19
D003483	C16
D003483	C17
D003490	C23
D003501	OTH
D003527	F03
D003528	C04
D003550	C06
D003550	C08
D003550	C16
D003554	C16
D003554	C18
D003555	C16
D003556	OTH
D003560	C04
D003586	C01
D003607	C11
D003635	C10
D003635	C16
D003638	C10
D003638	C23
D003639	C10
D003639	C23
D003643	C23
D003645	C23
D003668	C17
D003677	C18
D003680	C06
D003681	C18
D003681	C23
D003693	C10
D003693	C23
D003693	F03
D003699	C01
D003699	C06
D003702	F03
D003704	C10
D003704	F03
D003711	C10
D003715	C01
D003731	OTH
D003744	C16
D003778	OTH
D003805	C16
D003807	OTH
D003811	C16
D003861	F03
D003863	F03
D003865	F03
D003866	F03
D003872	C17
D003873	C17
D003874	C17
D003874	C20
D003875	C17
D003875	C20
D003876	C16
D003876	C17
D003876	C20
D003877	C17
D003878	OTH
D003881	C01
D003881	C17
D003882	C05
D003882	C10
D003882	C17
D003919	C19
D003920	C18
D003920	C19
D003922	C18
D003922	C19
D003922	C20
D003924	C18
D003924	C19
D003925	C14
D003925	C19
D003926	C19
D003928	C19
D003929	C10
D003929	C19
D003930	C11
D003930	C14
D003930	C19
D003956	OTH
D003963	C17
D003966	C05
D003966	C16
D003967	C23
D003968	C23
D004057	C05
D004062	C05
D004062	C14
D004062	C15
D004062	C16
D004062	C19
D004065	C06
D004065	C16
D004066	C06
D004077	OTH
D004093	OTH
D004108	C23
D004110	OTH
D004143	OTH
D004165	C01
D004172	C10
D004172	C11
D004172	C23
D004176	OTH
D004194	C23
D004204	C05
D004211	C15
D004213	F03
D004231	OTH
D004232	OTH
D004238	C06
D004240	C06
D004240	C23
D004243	F03
D004244	C23
D004294	OTH
D004308	OTH
D004310	C14
D004310	C16
D004314	C10
D004314	C16
D004325	F03
D004326	C06
D004327	F03
D004342	C20
D004347	OTH
D004351	OTH
D004357	OTH
D004361	OTH
D004363	OTH
D004368	OTH
D004370	C10
D004370	C11
D004370	C16
D004374	C14
D004374	C16
D004381	C06
D004382	C06
D004387	C04
D004392	C05
D004392	C16
D004392	C19
D004393	C05
D004393	C10
D004393	C19
D004401	C10
D004401	C23
D004402	C10
D004402	C16
D004403	C06
D004408	C10
D004408	C23
D004409	C10
D004409	C23
D004410	C10
D004410	C23
D004410	F03
D004412	C23
D004413	C05
D004414	F03
D004415	C23
D004417	C08
D004417	C23
D004420	OTH
D004421	C10
D004421	C23
D004422	C10
D004422	C16
D004423	OTH
D004427	OTH
D004433	C23
D004438	C15
D004438	C23
D004454	C10
D004454	C23
D004461	OTH
D004476	C16
D004476	C17
D004478	C01
D004479	C11
D004479	C16
D004480	C05
D004480	C16
D004483	C11
D004485	C17
D004487	C23
D004489	C14
D004489	C23
D004522	OTH
D004535	C14
D004535	C15
D004535	C16
D004535	C17
D004542	OTH
D004562	OTH
D004573	OTH
D004604	C15
D004612	C15
D004612	C16
D004613	C05
D004613	C16
D004613	C17
D004617	C14
D004619	C14
D004620	C14
D004644	F03
D004645	F03
D004646	C23
D004660	C10
D004669	C01
D004672	C01
D004672	C10
D004673	C10
D004673	C20
D004677	C10
D004677	C16
D004677	C23
D004685	C01
D004685	C10
D004686	C01
D004696	C14
D004698	C01
D004698	C14
D004700	C19
D004701	C04
D004714	OTH
D004715	OTH
D004716	OTH
D004719	C14
D004728	OTH
D004751	C06
D004760	C06
D004761	C01
D004761	C06
D004769	C01
D004775	F03
D004790	OTH
D004802	C15
D004806	C04
D004814	C04
D004815	OTH
D004819	C01
D004819	C17
D004820	C16
D004820	C17
D004823	OTH
D004826	C01
D004826	C08
D004827	C10
D004828	C10
D004829	C10
D004830	C10
D004831	C10
D004832	C10
D004844	C08
D004844	C23
D004852	OTH
D004880	OTH
D004881	OTH
D004884	C23
D004886	C01
D004886	C17
D004890	C17
D004890	C23
D004892	C17
D004893	C17
D004893	C20
D004894	C01
D004894	C17
D004896	OTH
D004906	OTH
D004909	OTH
D004915	C04
D004916	C14
D004921	OTH
D004927	C01
D004931	C06
D004932	C06
D004933	C06
D004933	C16
D004935	C06
D004938	C04
D004939	C06
D004940	C06
D004941	C06
D004942	C06
D004948	C10
D004948	C11
D004958	OTH
D004967	OTH
D004970	OTH
D005059	F03
D005076	C17
D005080	OTH
D005082	C05
D005094	C11
D005096	C05
D005097	C04
D005117	C14
D005117	C23
D005120	F03
D005123	OTH
D005124	C11
D005124	C16
D005126	C10
D005127	OTH
D005128	C11
D005129	C10
D005130	C11
D005130	C23
D005131	C10
D005131	C11
D005133	C05
D005134	C04
D005141	C11
D005146	C23
D005151	C10
D005156	C10
D005157	C23
D005158	C10
D005158	C23
D005162	F03
D005166	C15
D005166	C16
D005167	OTH
D005168	C15
D005168	C16
D005171	C15
D005171	C16
D005173	C15
D005173	C16
D005175	C15
D005175	C16
D005177	C15
D005177	C16
D005183	C23
D005185	C04
D005191	F03
D005198	C16
D005199	C15
D005199	C16
D005199	C18
D005207	C10
D005207	C23
D005208	C05
D005215	F03
D005218	C23
D005221	C23
D005234	C06
D005239	F03
D005242	C06
D005244	C06
D005247	F03
D005261	OTH
D005262	C23
D005264	OTH
D005265	OTH
D005271	C05
D005271	C23
D005272	C05
D005293	OTH
D005306	OTH
D005313	C23
D005315	C16
D005316	C23
D005317	C16
D005317	C23
D005319	OTH
D005320	C16
D005320	C19
D005320	C23
D005322	OTH
D005331	C15
D005331	C16
D005334	C23
D005335	C23
D005340	OTH
D005346	OTH
D005347	OTH
D005348	C17
D005350	C04
D005352	C14
D005355	C23
D005356	C05
D005356	C10
D005384	C05
D005395	OTH
D005401	C06
D005402	C23
D005413	C05
D005413	C16
D005414	C23
D005424	OTH
D005436	OTH
D005438	OTH
D005458	OTH
D005459	OTH
D005473	OTH
D005483	C23
D005489	C05
D005489	C16
D005489	C17
D005490	C01
D005492	OTH
D005494	C18
D005497	C04
D005499	C17
D005512	C20
D005517	OTH
D005518	F03
D005532	C05
D005532	C16
D005536	C01
D005541	OTH
D005547	OTH
D005598	OTH
D005600	C10
D005600	C16
D005621	C10
D005621	C16
D005621	C18
D005633	C16
D005633	C18
D005639	F03
D005640	OTH
D005642	C11
D005642	C16
D005645	C10
D005645	C16
D005645	C18
D005660	C05
D005660	C16
D005665	OTH
D005667	C01
D005667	C17
D005683	C23
D005687	C17
D005693	C10
D005693	C16
D005693	C18
D005705	C06
D005706	C04
D005715	F03
D005719	OTH
D005723	OTH
D005734	C23
D005738	C01
D005756	C06
D005757	C06
D005759	C06
D005764	C06
D005767	C06
D005769	C06
D005770	C04
D005776	C10
D005776	C16
D005776	C18
D005831	OTH
D005832	OTH
D005833	C04
D005865	OTH
D005871	C15
D005871	C20
D005873	C01
D005873	C06
D005878	C16
D005878	C18
D005879	C10
D005879	C16
D005879	F03
D005882	OTH
D005884	C23
D005885	OTH
D005886	OTH
D005889	OTH
D005891	C01
D005901	C11
D005902	C11
D005907	OTH
D005909	C04
D005910	C04
D005916	OTH
D005918	C04
D005919	OTH
D005921	OTH
D005922	C20
D005923	OTH
D005926	C23
D005928	OTH
D005929	OTH
D005938	OTH
D005944	OTH
D005947	OTH
D005951	OTH
D005953	C16
D005953	C18
D005955	C15
D005955	C16
D005955	C18
D005973	OTH
D005996	OTH
D005998	OTH
D006008	C16
D006008	C18
D006009	C10
D006009	C16
D006009	C18
D006010	C16
D006010	C18
D006011	C16
D006011	C18
D006012	C16
D006012	C18
D006014	C05
D006014	C10
D006014	C16
D006014	C18
D006029	C18
D006030	C16
D006030	C18
D006031	OTH
D006042	C19
D006044	C19
D006053	C05
D006053	C16
D006059	C16
D006059	C19
D006061	C16
D006061	C19
D006069	C01
D006073	C05
D006073	C16
D006073	C18
D006083	C23
D006084	C20
D006086	C20
D006087	C20
D006099	C15
D006099	C23
D006105	C15
D006105	C16
D006105	C20
D006111	C11
D006111	C19
D006111	C20
D006128	OTH
D006130	C23
D006151	OTH
D006167	F03
D006177	C17
D006192	C01
D006197	OTH
D006200	C17
D006201	C17
D006209	C23
D006211	C10
D006211	C16
D006212	C10
D006212	C23
D006222	C04
D006223	C04
D006228	C05
D006228	C16
D006242	OTH
D006250	C10
D006250	C16
D006250	C18
D006255	C08
D006255	C20
D006258	C04
D006259	C10
D006261	C23
D006262	OTH
D006309	C05
D006309	F03
D006311	C10
D006311	C23
D006312	C10
D006312	C23
D006313	C10
D006313	C23
D006314	C10
D006314	C23
D006316	C10
D006316	C23
D006319	C10
D006319	C23
D006321	C14
D006323	C14
D006327	C14
D006327	C23
D006330	C14
D006330	C16
D006331	C14
D006332	C14
D006332	C23
D006333	C14
D006334	OTH
D006337	C23
D006339	OTH
D006340	OTH
D006341	C14
D006343	C14
D006343	C16
D006344	C14
D006344	C16
D006345	C14
D006345	C16
D006349	C14
D006356	C23
D006359	OTH
D006373	C01
D006379	F03
D006391	C04
D006394	C04
D006395	C05
D006395	C23
D006396	C06
D006396	C23
D006400	OTH
D006402	C15
D006406	C23
D006407	C10
D006407	C14
D006407	C23
D006408	C10
D006408	C14
D006408	C23
D006417	C23
D006423	C10
